Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt,description_wordcount,age_category
2,5,266,0,1,1,7,0,1,1,2,1,2,1,1,0,41326,0,1.0,123,0.0
2,2,298,0,3,6,7,0,1,1,2,1,2,1,5,0,41401,0,1.0,14,0.0
1,8,179,0,2,2,0,0,1,1,1,1,3,1,1,0,41326,0,1.0,15,2.0
2,2,265,299,3,3,5,7,2,2,2,1,2,1,3,0,41327,3,7.0,54,0.0
2,3,266,0,2,2,6,7,3,1,1,1,2,1,1,0,41326,0,3.0,73,0.0
1,3,307,0,1,1,2,0,2,2,2,2,2,1,1,0,41332,0,4.0,1,0.0
1,20,76,0,2,1,7,0,2,1,1,1,1,1,1,0,41401,0,3.0,49,1.0
2,4,266,0,1,7,0,0,2,1,2,1,2,1,1,0,41327,0,2.0,94,0.0
1,1,307,0,1,5,0,0,2,1,1,1,1,1,1,0,41326,0,1.0,29,0.0
1,3,307,0,2,5,0,0,2,3,1,1,2,1,1,0,41327,0,1.0,9,0.0
2,18,266,0,1,7,0,0,2,1,3,3,2,1,1,0,41401,0,2.0,57,1.0
1,2,307,307,2,1,2,0,2,1,2,1,2,1,1,0,41332,0,2.0,9,0.0
2,2,266,0,1,1,7,0,2,1,2,1,2,1,1,50,41401,0,4.0,137,0.0
2,36,299,0,2,1,4,7,2,1,1,1,1,1,1,0,41401,0,2.0,14,1.0
1,2,307,0,1,5,0,0,2,1,1,1,2,1,1,0,41327,0,1.0,3,0.0
1,12,103,307,2,1,6,0,2,3,1,1,1,1,1,0,41326,0,3.0,65,2.0
1,24,60,0,2,1,2,0,1,1,1,1,2,1,1,0,41326,0,3.0,10,1.0
1,2,307,307,2,1,2,5,2,1,2,2,2,1,1,0,41330,0,3.0,11,0.0
2,6,292,0,1,4,6,7,2,2,2,2,2,1,3,0,41326,0,9.0,133,0.0
1,2,307,0,3,1,0,0,2,1,1,1,2,1,4,0,41326,0,5.0,102,0.0
2,1,266,0,1,2,6,0,1,1,2,1,2,1,1,0,41326,0,8.0,9,0.0
1,72,307,307,2,1,2,0,2,2,3,2,1,1,2,50,41326,0,6.0,52,1.0
2,2,266,0,2,2,4,7,2,1,2,2,2,1,1,0,41326,0,5.0,72,0.0
2,12,292,0,1,2,5,0,3,1,1,1,2,1,1,0,41327,0,6.0,49,2.0
2,2,266,0,1,3,0,0,1,1,2,2,2,1,1,0,41401,0,1.0,28,0.0
1,28,119,0,2,7,0,0,2,2,1,1,2,1,1,300,41326,0,3.0,45,1.0
1,2,307,307,3,1,0,0,2,1,2,1,2,1,2,0,41332,0,5.0,24,0.0
2,6,289,292,3,2,5,6,2,2,3,1,2,1,3,0,41326,0,7.0,103,0.0
2,0,265,285,2,1,2,0,2,2,2,2,2,1,1,0,41401,0,1.0,169,0.0
2,24,292,0,2,2,7,0,1,1,3,3,3,1,1,0,41326,0,1.0,8,1.0
2,3,266,0,2,2,4,7,2,1,1,1,2,1,4,0,41401,1,5.0,128,0.0
