Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,PetID,PhotoAmt,AdoptionSpeed,description_wordcount
1,18,307,307,3,2,0,0,2,2,1,1,1,1,2,0,41401,1296,0,a366ce2a5,5.0,4,105
2,5,265,0,1,2,6,7,2,2,1,1,2,1,1,0,41401,392,0,6cce5e116,1.0,0,11
2,9,266,0,2,1,0,0,2,1,2,2,2,1,1,0,41326,6778,0,ebd16285e,5.0,3,40
2,1,265,0,3,1,2,7,1,1,2,2,2,1,3,0,41401,7020,0,d3968a6b0,4.0,1,37
1,4,307,0,2,1,0,0,2,1,1,1,2,1,1,0,41326,3453,0,b7da4e981,5.0,3,10
2,4,266,0,1,1,6,7,1,1,2,2,2,1,1,0,41326,896,0,71d834666,10.0,1,40
1,2,141,213,2,1,2,7,2,2,2,1,2,1,1,0,41332,3837,0,78760a8a2,8.0,0,58
1,2,307,0,1,2,7,0,2,1,2,1,2,1,4,0,41326,2147,0,dd87c7291,4.0,0,54
2,3,299,285,3,1,3,7,2,1,2,1,2,1,3,0,41326,3218,0,a4dd57b11,1.0,1,5
1,5,307,0,2,1,2,5,2,1,1,1,2,1,1,0,41326,5546,0,f4316f2bc,6.0,4,115
1,3,141,307,2,1,0,0,3,1,2,2,2,1,1,0,41326,3348,0,e77b5a78f,1.0,1,69
2,5,266,0,2,3,7,0,1,1,2,2,2,1,1,0,41401,1435,0,e7e2eca9e,1.0,4,8
2,3,265,0,3,1,5,6,1,2,2,2,2,1,4,0,41326,5606,0,29f557bd3,10.0,4,20
2,12,266,0,1,1,6,7,3,1,2,1,1,1,1,0,41401,6650,0,f9159b6df,3.0,4,100
1,48,20,20,2,1,2,7,2,1,1,1,1,1,1,0,41326,3733,0,0819ac2f6,2.0,1,35
1,2,307,0,2,1,7,0,2,1,1,1,2,1,1,0,41401,5149,0,2bfc5658b,4.0,3,34
2,3,277,0,3,1,2,7,2,1,2,2,2,1,4,0,41326,3761,0,db45d8505,4.0,1,11
1,3,307,0,2,3,7,0,2,1,1,1,2,1,1,0,41326,1002,0,615f5dc85,3.0,3,77
2,2,266,0,3,1,4,7,2,1,2,2,2,1,4,0,41326,4084,0,f5bcc82f8,4.0,2,90
2,24,266,0,2,2,0,0,2,2,1,1,1,1,1,0,41327,4461,0,f8c113931,3.0,0,50
1,4,307,0,2,1,2,0,2,2,3,3,3,1,2,0,41326,6929,0,57b9d7903,0.0,4,15
1,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,1189,0,1d9c36e47,3.0,4,50
1,24,109,0,1,3,0,0,3,3,1,1,1,1,1,0,41326,4791,0,df2d9957f,2.0,2,68
1,6,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,6654,0,b4aa0c3ce,1.0,3,32
2,55,266,0,2,1,4,7,3,1,1,1,1,1,3,0,41326,331,0,50811e391,6.0,4,112
2,3,299,292,2,2,5,7,2,1,2,1,2,1,1,0,41326,263,0,a7a94dd33,5.0,1,251
1,2,307,0,1,2,0,0,2,3,2,2,2,1,1,0,41326,5041,0,c7ee7af0e,3.0,0,35
2,4,265,0,1,5,7,0,3,2,2,2,2,1,1,50,41326,6353,0,0600d1b91,3.0,0,71
1,12,200,307,2,2,7,0,2,1,2,2,2,1,1,0,41326,3817,0,ade5e46bc,3.0,0,11
2,1,265,0,2,1,4,6,1,2,2,2,2,1,1,0,41326,3852,0,800830095,2.0,0,38
2,1,265,0,2,1,6,7,2,2,2,2,2,1,1,0,41326,5682,0,e09c0a3be,1.0,1,30
1,36,78,0,1,1,2,0,3,1,1,1,2,1,1,150,41326,5751,0,98e1a3f01,1.0,1,53
1,2,307,0,2,5,7,0,3,1,1,1,2,1,1,50,41326,3174,0,24ee3b57d,4.0,2,27
2,2,266,0,2,6,0,0,2,2,2,1,2,1,1,0,41401,4372,0,82f899eaf,19.0,3,17
2,1,265,0,2,1,2,4,2,2,2,2,2,1,1,0,41326,2531,0,42d94df4c,1.0,4,191
2,3,266,0,2,4,7,0,2,1,1,1,1,1,1,0,41336,3261,0,ceee65059,2.0,0,20
1,2,307,103,1,2,5,0,2,1,1,1,2,1,3,0,41401,5746,0,f304e7fb3,1.0,4,18
2,2,254,0,2,1,4,7,2,1,2,1,2,1,1,0,41326,631,0,e38f07d89,12.0,1,171
2,3,266,0,2,1,7,0,1,1,2,1,2,1,1,0,41336,923,0,d1dc0e113,1.0,0,124
2,2,266,0,1,1,0,0,2,1,2,1,2,1,2,0,41401,4494,0,d2ef01564,16.0,0,79
1,8,307,0,2,7,0,0,2,2,1,1,1,1,1,0,41401,5387,0,00a1a8af4,3.0,2,20
2,5,299,0,1,1,2,3,2,1,1,1,2,1,1,50,41326,5123,0,25079d00a,1.0,4,25
2,2,265,0,3,1,2,7,2,1,3,3,3,1,4,0,41327,5734,0,2e562fa52,1.0,4,5
1,1,307,0,2,2,7,0,1,1,2,2,2,1,1,0,41401,6688,0,0038234c6,3.0,4,65
1,2,218,307,2,1,2,7,2,1,2,1,2,1,1,0,41326,4791,0,75ee37fa5,1.0,3,47
1,2,307,0,1,2,3,0,2,1,2,2,2,1,1,0,41326,4791,0,749afb385,1.0,3,74
2,3,266,0,2,2,7,0,1,1,2,1,2,1,1,0,41326,2040,0,96a5fd573,2.0,4,12
2,2,266,265,1,6,0,0,2,1,2,2,2,1,1,0,41401,4915,0,eabd3737a,5.0,0,28
2,2,266,0,2,4,7,0,1,1,2,1,2,1,2,0,41326,3975,0,b573c3587,4.0,0,4
1,3,307,0,2,5,0,0,2,2,2,2,2,1,1,0,41326,4673,0,53db5839b,5.0,4,6
1,1,307,0,2,1,2,0,2,2,2,2,2,1,1,0,41326,4041,0,99b263dea,2.0,3,14
1,84,49,0,2,7,0,0,2,1,3,3,3,1,1,0,41401,5686,0,92189aa31,1.0,4,79
2,7,247,0,1,1,2,0,1,1,1,1,2,1,1,250,41330,6952,0,2bb2a981b,5.0,3,9
1,8,307,0,2,4,5,7,2,2,1,1,2,1,1,0,41326,6137,0,8528b3d49,3.0,4,44
1,2,307,0,1,2,7,0,2,1,1,1,2,1,1,0,41326,3962,0,515d9508a,1.0,3,13
1,2,307,0,2,2,7,0,2,1,2,2,2,1,1,0,41326,3831,0,a58d8080b,1.0,3,125
2,4,266,0,3,1,4,7,2,1,2,2,2,1,2,0,41401,6104,1,4463deb9a,8.0,3,137
1,24,307,0,2,5,7,0,1,1,1,1,1,1,1,0,41326,4492,0,c547dcf69,1.0,0,48
1,29,206,0,2,6,7,0,2,3,1,1,2,1,1,0,41401,4607,0,1d5524b77,1.0,0,80
1,2,307,0,3,1,2,7,2,1,2,2,2,1,2,0,41327,4851,0,768735fd6,0.0,0,59
2,2,266,0,3,2,7,0,2,1,2,2,3,1,2,0,41401,4234,0,2b0c1563d,4.0,0,38
2,1,266,0,1,1,4,0,2,1,2,1,2,1,3,0,41326,7099,0,c469973de,1.0,1,31
2,3,266,0,3,2,3,6,2,1,2,2,2,1,3,100,41401,3776,0,311368756,3.0,0,46
2,2,266,0,3,1,2,0,2,1,2,2,2,1,3,0,41330,5759,0,ac7609b80,3.0,4,104
2,12,266,0,3,2,4,0,2,1,2,1,2,1,4,0,41326,7107,0,5fdf55154,2.0,0,20
1,4,307,0,1,1,2,0,2,2,2,1,2,1,1,0,41401,4110,0,10e1cbfdd,6.0,3,10
2,1,266,0,3,1,5,7,1,1,2,2,2,1,5,0,41401,5330,1,1c57e4387,9.0,0,76
1,4,307,0,1,1,0,0,2,1,2,2,2,1,1,0,41401,5637,0,8f6a4a76a,2.0,1,15
1,3,307,0,3,2,7,0,2,1,2,2,2,1,3,0,41326,1189,0,8ccaceef5,4.0,3,44
1,2,307,0,1,1,2,0,2,2,2,1,2,1,1,0,41326,4996,0,517eca23e,3.0,0,11
2,180,265,0,1,1,7,0,2,2,1,1,1,1,1,0,41326,4017,0,bd006f963,1.0,3,138
2,2,265,0,2,1,4,7,1,2,2,2,2,1,1,0,41326,2083,0,2027f2dfd,1.0,2,35
2,4,265,265,1,1,7,0,1,2,2,1,2,1,1,50,41326,2026,0,722beb3aa,3.0,4,28
