Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,PhotoAmt,description_wordcount
1,7,307,0,1,1,0,0,2,1,3,3,3,1,1,0,41401,149,1,3.0,6
1,25,195,0,1,6,7,0,2,3,1,1,2,1,1,100,41326,1950,0,2.0,3
2,1,299,266,3,1,2,0,2,1,2,2,2,1,2,0,41332,3012,0,5.0,133
1,12,307,0,2,5,7,0,2,1,2,2,1,1,1,0,41326,552,0,8.0,81
1,4,141,0,2,5,0,0,3,2,1,1,2,1,1,0,41415,3357,0,1.0,39
2,2,303,265,1,1,2,4,1,2,2,2,2,1,1,0,41326,2293,0,5.0,123
1,12,179,0,1,5,0,0,1,2,3,3,3,1,1,0,41401,5186,0,1.0,264
1,12,307,152,1,1,3,0,2,2,1,1,2,1,1,100,41326,3218,1,10.0,45
2,3,265,0,1,7,0,0,2,2,3,3,3,1,1,0,41326,4458,0,1.0,14
1,1,307,0,3,1,7,0,2,1,2,2,3,1,2,80,41336,203,0,2.0,18
1,2,148,0,1,1,2,0,2,1,2,2,2,1,1,0,41326,2843,0,1.0,54
2,1,265,0,1,3,7,0,1,2,2,2,2,1,1,0,41326,2524,0,7.0,20
1,1,307,0,3,1,2,5,2,2,2,2,2,1,8,0,41326,5316,0,17.0,260
2,2,266,266,3,1,6,0,1,1,2,2,3,1,2,0,41401,3149,0,5.0,132
2,3,265,0,1,1,0,0,2,2,2,1,2,1,1,0,41326,4307,0,5.0,20
1,11,307,0,1,5,0,0,3,1,1,1,2,1,1,0,41330,1877,0,4.0,86
1,1,187,307,3,1,2,7,2,2,3,3,2,1,4,0,41326,1723,0,3.0,97
1,2,307,0,2,2,5,7,2,1,2,1,2,1,1,0,41326,40,1,4.0,48
2,12,266,0,2,1,4,7,2,1,2,2,2,1,1,0,41326,5316,0,2.0,44
2,2,266,0,1,2,7,0,2,1,2,2,2,1,1,0,41326,194,0,1.0,128
1,8,307,0,1,4,0,0,2,1,1,1,2,1,1,0,41401,2139,0,2.0,49
1,2,307,307,2,5,0,0,2,1,2,2,2,1,1,0,41401,146,0,11.0,169
1,3,307,0,1,1,0,0,2,1,1,1,2,1,1,0,41401,4233,0,6.0,29
1,24,141,0,2,1,0,0,3,2,1,1,3,1,1,300,41326,3764,0,1.0,41
1,2,307,0,2,7,0,0,2,2,2,2,2,1,1,0,41401,1850,0,4.0,12
1,2,307,0,2,1,2,0,2,1,3,3,2,1,1,0,41326,5451,0,1.0,17
1,3,307,0,1,4,5,0,2,1,1,1,2,1,1,100,41327,5517,0,1.0,15
1,0,307,0,1,2,0,0,2,1,2,2,2,1,1,50,41326,133,0,1.0,31
1,36,75,0,1,1,0,0,1,1,3,3,2,1,1,0,41401,3234,0,1.0,51
2,2,265,0,1,5,0,0,1,2,3,3,3,1,1,0,41327,1920,0,6.0,47
1,8,103,307,1,1,2,0,2,1,1,3,3,1,1,0,41326,5451,0,3.0,13
1,24,307,0,1,1,7,0,2,2,2,1,2,1,1,0,41401,3223,0,5.0,12
2,3,266,0,2,1,7,0,1,1,1,1,2,1,1,0,41335,27,0,6.0,61
1,2,307,0,3,1,0,0,2,1,2,2,2,1,4,0,41326,2876,0,3.0,99
1,36,307,0,2,2,3,4,2,1,3,3,3,1,1,0,41401,943,0,2.0,37
2,15,292,0,2,7,0,0,2,1,2,2,3,1,1,0,41367,2562,0,1.0,23
