Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,PetID,PhotoAmt,AdoptionSpeed,description_wordcount
2,3,299,0,1,1,7,0,1,1,2,2,2,1,1,100,41326,8480853f516546f6cf33aa88cd76c379,0,86e1089a3,1.0,2,69
2,1,265,0,1,1,2,0,2,2,3,3,3,1,1,0,41401,3082c7125d8fb66f7dd4bff4192c8b14,0,6296e909a,2.0,0,23
1,1,307,0,1,2,7,0,2,2,1,1,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,3422e4906,7.0,3,69
1,4,307,0,2,1,2,0,2,1,1,1,2,1,1,150,41401,9238e4f44c71a75282e62f7136c6b240,0,5842f1ff5,8.0,2,25
1,1,307,0,1,1,0,0,2,1,2,2,2,1,1,0,41326,95481e953f8aed9ec3d16fc4509537e8,0,850a43f90,3.0,2,81
2,3,266,0,2,5,6,0,2,1,2,2,2,1,1,0,41326,22fe332bf9c924d4718005891c63fbed,0,d24c30b4b,2.0,2,18
2,12,264,264,1,1,0,0,2,3,2,2,3,1,1,300,41326,1e0b5a458b5b77f5af581d57ebf570b3,0,1caa6fcdb,3.0,1,78
1,0,307,0,2,1,2,7,2,1,2,2,2,1,6,0,41326,1fba5f6e5480946254590d48f9c5198d,0,97aa9eeac,9.0,3,20
2,2,265,0,2,6,0,0,2,2,2,2,2,1,1,0,41326,d8af7afece71334473575c9f70daf00d,0,c06d167ca,6.0,1,13
2,12,265,0,2,1,7,0,2,2,3,3,3,1,1,0,41326,1f3f36e4b18e94855b3e88af0852fdc4,0,7a0942d61,2.0,4,45
1,2,307,0,1,1,2,7,2,1,2,1,2,1,1,0,41401,9238e4f44c71a75282e62f7136c6b240,0,8b693ca84,7.0,1,12
2,3,264,0,2,1,2,5,3,3,1,1,2,1,1,50,41326,a9caef3f98e67bfac9093cca79e20b93,0,8e76c8e39,2.0,1,126
1,2,307,0,1,2,5,6,2,3,1,1,2,1,1,0,41326,db784cbcf321e1d8856b312638b94113,0,aaedd873d,1.0,2,49
2,2,265,0,3,1,6,7,1,2,2,2,3,1,7,0,41326,2c118b2a1d1b4cf1f735089c7c0a07c0,0,4a9793dfb,1.0,1,96
1,3,307,0,2,2,5,7,2,2,3,3,3,1,1,0,41401,b609c40c6c840db208b149a19b856f86,0,c02be41e6,2.0,2,67
1,78,218,205,1,1,7,0,2,2,3,3,3,1,1,0,41326,39112c637c80a6055e8ec544416abffe,0,1fd342e17,2.0,4,68
2,6,266,0,2,2,0,0,1,1,1,1,1,1,1,0,41326,58e3aa0b4b78e8879f81774ede0646fe,0,b38a74866,1.0,3,8
1,8,307,307,2,2,0,0,2,1,2,1,1,1,1,10,41330,4e3dec1544d1407fce5d65fd0f037e26,0,f9d07d5fa,2.0,4,71
1,2,307,0,2,1,0,0,2,1,2,1,2,1,1,0,41401,9238e4f44c71a75282e62f7136c6b240,0,1c92ce464,8.0,2,139
2,1,266,0,3,1,2,7,1,1,2,2,2,1,5,0,41326,b752f78276215f44581eeb6eea1e63bc,0,b10e7605a,1.0,4,97
1,12,307,0,2,2,7,0,2,2,2,1,1,1,1,0,41326,a042471e0f43f2cf707104a1a138a7df,0,6436c1a59,7.0,2,79
1,3,307,0,2,6,0,0,2,1,2,1,2,1,3,0,41326,fa7cd6caa034d4332fc75d70807e83a3,0,234a5a54c,5.0,4,14
2,0,114,0,3,3,6,7,2,2,2,2,3,1,10,0,41401,97be67995b53f86f64be212c867009fa,0,1bc0f89d8,0.0,4,20
1,10,307,117,2,1,2,7,2,2,1,1,1,1,1,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,1bf24d8be,0.0,4,65
2,3,266,0,1,2,7,0,1,1,2,1,2,1,1,0,41401,b8853c71b981104f1ef126e51387b616,0,988988d5b,19.0,1,42
2,36,285,251,1,3,0,0,3,2,1,1,1,1,1,0,41326,001e42763024f9d4abe31e79472b1827,0,cf7d3eec0,3.0,2,64
2,2,285,265,1,3,0,0,2,2,2,2,2,1,1,0,41401,1b9bb5275677d26b00604f24439c81fc,0,85fc3c314,11.0,1,9
2,1,266,0,2,1,0,0,2,1,2,2,2,1,1,0,41326,2f846fb8f87a25678374e193559d83c9,0,efbf1703a,2.0,2,19
1,14,189,0,1,1,2,0,3,1,1,1,2,1,1,1,41326,cbc97ee98ae458e5deecedbc648e90d2,0,7843a9dca,0.0,3,30
2,1,266,0,2,2,7,0,1,1,2,1,2,1,1,0,41327,86552e2f34c929a01f7841cbd8865b20,0,d341fbfd6,1.0,2,54
1,4,205,218,3,2,7,0,1,2,1,1,1,1,2,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,1a76190c5,5.0,3,40
2,1,266,0,1,1,0,0,1,1,2,2,2,1,1,0,41361,3cbe8b84e5b4852b5923c348fefcdf31,0,edb920079,1.0,1,7
1,24,307,0,1,5,7,0,2,1,1,1,2,1,5,0,41326,2147467fcd35e7a3bc23b9edcffc5702,0,543130f60,1.0,4,56
2,4,266,0,2,1,6,7,1,1,2,2,2,1,2,0,41326,7d58438884ab468dce87c7e252bbd6e4,0,9415bc79e,7.0,3,58
2,3,266,0,2,1,7,0,1,1,1,2,2,1,1,1,41327,6e4f4078c85aaa01b4059fbf679e6695,0,4c6fe4100,5.0,4,3
2,12,264,0,2,6,0,0,2,3,2,2,2,1,1,0,41326,76f0a2be251f10691a62e16409b95e47,0,0737e4f11,5.0,1,4
2,24,265,292,2,1,4,0,2,2,1,1,3,1,3,0,41326,90b00f90ffdf9ec1cac529a2bbef3ecc,0,61fa73996,2.0,4,7
2,2,265,0,2,2,0,0,1,2,2,2,2,1,1,0,41326,b020ad4c866a9f17be0ab3beaa38c78c,0,eabb13cea,3.0,1,36
1,12,307,0,1,1,0,0,2,1,2,2,2,1,1,0,41336,31de822d0adce3e2dad7dcedfbee2ba8,0,deff069a2,4.0,1,44
1,12,307,0,1,5,0,0,2,2,1,1,2,1,1,0,41326,6757d0b9d5b72d8b78c20e355c7fe62c,0,4e3640544,1.0,3,16
2,2,265,266,2,7,0,0,2,2,2,1,2,1,1,0,41326,3608ac1e44811d7ccba91924b68c8cf5,0,ace21b6b1,13.0,3,176
2,1,266,0,3,1,2,7,1,1,2,2,2,1,3,0,41326,dc161f335e8afdc4b7db7a0d1006450a,0,8ee223a17,1.0,2,17
2,24,292,285,2,7,0,0,2,3,3,3,3,2,6,0,41326,813db17af7694027ab11db3245900c99,0,9a38d4275,1.0,1,25
1,5,128,307,1,7,0,0,2,1,1,1,1,1,1,0,41401,ee2747ce26468ec44c7194e7d1d9dad9,0,671ffc570,6.0,3,44
1,12,307,0,1,2,7,0,2,2,2,1,1,1,1,0,41336,61c1f7b917b7f6772c5e77849c2b4127,0,aece6e7bf,2.0,4,38
1,4,307,0,1,1,7,0,2,1,2,2,2,1,2,0,41326,5788b8639ed178795510a8cbe72ccc28,0,c1e816568,11.0,4,68
2,5,265,0,1,4,7,0,1,3,1,1,2,1,1,0,41326,ce824bb488ae6a8f115a923135d1a642,0,22f6c0ac6,13.0,3,78
1,72,307,0,2,2,7,0,2,1,1,1,1,1,1,0,41326,c9a898071102b4fc7d485be4ff0e35d9,0,ea159d8da,3.0,4,48
1,1,307,0,3,1,2,0,2,1,3,3,2,1,9,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,af1035c81,3.0,3,25
2,60,264,0,1,1,2,7,3,3,1,1,1,1,1,0,41326,d835d7d98b94ec261d6d889a39eaed73,0,0d25f084f,3.0,2,89
1,1,307,141,2,1,0,0,2,2,2,1,1,1,2,0,41326,8b6c5cd067ada5f54ca5ffc7f7b5d896,0,6fecc5cf7,13.0,3,54
2,6,266,0,1,1,2,7,2,1,1,1,1,1,1,100,41401,8ffce5c58bc69ccac0ceee68ddce6ffd,0,7fe8ef73d,1.0,4,15
1,2,307,0,1,2,7,0,2,1,1,1,2,1,1,0,41326,8b6c5cd067ada5f54ca5ffc7f7b5d896,0,015c75c9e,3.0,3,54
1,12,307,307,2,2,0,0,2,2,1,1,1,1,2,0,41326,db37468644b7600f55f9c0bab40acf59,0,9609a0b86,5.0,4,185
1,3,307,0,2,2,7,0,1,1,3,3,3,2,1,0,41326,32dec3aacc31b4fb66ad0c807fd69696,0,c740abfe1,0.0,3,52
2,3,265,0,3,4,6,7,1,2,1,1,2,1,2,0,41401,ccab255657ce17ccbde14b74e89353de,0,f6551137d,15.0,2,59
2,5,266,0,1,1,7,0,2,1,2,1,2,1,1,30,41326,4d5f43732b32887e08b4e83eac8f62e0,0,8c131db77,4.0,4,119
1,24,307,0,2,5,0,0,2,2,1,1,1,1,1,0,41326,a23a047157d709e38cf801a723a246ba,0,d765ae877,2.0,2,27
1,4,307,0,1,5,0,0,3,2,2,2,2,1,1,0,41326,2bae234d5ea501d9e1671b9154c6dc70,0,8ce183889,3.0,1,22
2,2,243,0,3,1,6,7,1,1,3,3,3,1,6,0,41401,56e5bf402cb852ece2604f92e4c5c2a2,0,9c0ddccc8,1.0,4,13
2,1,266,0,2,4,0,0,2,1,2,2,2,1,1,0,41326,8e8304b632d3868293bd3fd89b105e90,0,f9df8656a,5.0,1,53
1,9,307,0,1,2,5,0,2,1,1,1,3,1,1,0,41327,cccb18b8f8b81862f9a1ebc65d651d22,0,f0ef9c777,2.0,4,70
1,60,307,0,2,2,5,0,2,1,2,2,1,1,1,0,41326,167e96a28fab246120f636262f0308d4,0,3181e5424,2.0,4,94
1,2,307,0,1,1,2,0,2,2,2,2,2,1,1,0,41327,ba86004409dfbe41d6d72cc92a31439b,0,9883a048e,5.0,2,25
1,2,213,307,3,1,3,7,2,3,1,1,2,1,7,0,41326,e62135526c27156b8479420aad166317,0,b0dec8779,21.0,3,133
1,48,205,0,2,2,5,0,2,2,1,1,2,1,1,0,41326,3b4973ac9e6a430314f5cfd356fdb3e4,0,e8d0907ae,5.0,1,5
2,3,266,0,2,2,0,0,2,1,2,2,2,1,1,0,41324,e3bbcf8a10e96c7ec63e557a176c9aa0,0,e540c1ba5,1.0,4,7
2,4,266,0,1,1,3,0,1,1,2,1,2,1,2,0,41401,2c711fc92ce10361f5b624d5a9c1e139,0,4a4db4d32,1.0,2,65
2,9,266,0,2,2,7,0,2,1,2,2,2,1,1,0,41401,e28bf3c810e2b06bc9d5fe56740fdbcd,0,98a98311c,1.0,2,62
1,62,307,0,1,1,3,6,2,2,1,1,1,1,1,0,41401,de218e291145dbc92083d5bc292d10b8,0,ef14861df,3.0,4,28
1,36,307,0,2,1,2,0,2,1,1,1,1,1,5,0,41326,2147467fcd35e7a3bc23b9edcffc5702,0,a9bc357f0,1.0,4,51
1,1,307,307,2,1,2,0,2,2,2,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,aaf4a1439,1.0,3,3
1,2,141,128,1,1,2,7,1,1,1,3,2,1,1,0,41401,d2ec92fbdbf1e452b57cd25b3d51bc72,0,1e62e6022,5.0,1,43
1,2,307,0,1,1,2,0,1,1,1,1,2,1,1,0,41326,0e18b1cafeff35a2ba291e3c7e31255d,0,4e797dcdd,3.0,4,37
1,1,173,96,3,1,2,7,2,2,2,2,2,1,9,100,41335,80ecb2b31b27d310c829d09e1570cef9,0,45d2ddcb8,5.0,2,267
1,2,307,0,2,2,5,0,2,1,2,1,2,1,1,0,41336,31de822d0adce3e2dad7dcedfbee2ba8,0,259b10a3e,1.0,0,30
1,2,307,0,2,1,0,0,3,1,1,1,2,1,2,0,41326,603f4e699a92fb6b4f0479c1a3c6e13f,1,d2490c888,3.0,4,144
1,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,bb37f98b63ae488316a12dc070c4d075,0,2c93c0c11,3.0,3,25
1,2,307,307,1,2,0,0,2,2,1,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,35593da00,5.0,1,2
1,1,307,0,2,2,7,0,2,1,1,1,2,1,1,0,41326,89c6f93e7aa2c394634306ac9efe4072,0,4cc70e613,1.0,3,40
1,2,307,0,2,1,2,0,2,1,1,2,2,1,1,0,41327,3223e1c4cb2bef48823ee5c604b9aa04,0,ff125cf8d,1.0,4,36
1,3,207,0,1,1,2,0,1,3,1,1,3,1,1,750,41326,d03a75a35edc98d0c4eaab6cc0157d0b,0,c30dd6e9a,2.0,1,48
1,3,307,0,1,1,7,0,2,2,2,1,2,1,1,0,41325,5b713a4d7902d3e516f80a0761afc403,0,be9474b85,1.0,2,36
1,3,307,141,1,5,0,0,2,2,3,3,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,815f4cc08,3.0,3,16
2,6,265,0,2,5,7,0,2,2,2,1,2,1,1,50,41326,74dabecce4ddb0c4d08892255974496b,0,ec5069cf6,4.0,3,21
1,1,307,0,2,1,2,0,2,2,2,2,2,1,2,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,867308404,3.0,2,20
2,47,250,285,2,1,2,0,2,3,2,2,2,1,1,0,41326,299e22e2f31f5a1be0fa923ca3cd90a3,0,e9df3ead7,2.0,4,28
1,2,189,307,1,1,2,0,3,2,3,3,3,1,1,0,41326,5cbf7860da1936f71acb44d6c1b8b292,0,258667857,4.0,2,57
1,12,307,0,2,5,0,0,2,2,1,1,1,1,1,0,41330,f2522890ad604bf70421af61cb871a96,3,fd3172797,11.0,3,283
1,2,307,76,1,1,7,0,2,1,1,1,2,1,1,0,41326,e03a1162538a0414d6c79823ad6c2744,4,8df0bb3b3,18.0,3,228
1,1,307,0,1,2,0,0,2,1,2,2,2,1,1,0,41330,f2522890ad604bf70421af61cb871a96,0,3d0752cd9,5.0,3,119
2,1,266,266,3,2,3,7,1,2,2,2,2,1,2,0,41326,623948fc0c0269298e8aa2493b7dd2a7,0,22051ab84,3.0,4,193
1,1,307,307,3,2,7,0,2,1,2,2,2,1,5,0,41326,61fe7e6f5cc3f8e40dcb5f14147f38fe,0,573b3ec3d,0.0,4,31
2,24,266,0,1,4,0,0,3,1,2,2,2,2,1,0,41324,e6ea7180b4e5320b0006e6e2f65397d9,0,370fe2afb,12.0,3,106
2,24,266,0,2,2,4,0,2,1,2,2,1,1,1,0,41326,c5dd3fa6810843a5806906d1991af7f4,0,dd308e46b,1.0,4,4
